City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,82.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Hithadhoo,MV,82.04,broken clouds,-0.6,73.0833,Scoop Guest House
28,Akhmeta,GE,79.32,scattered clouds,42.0311,45.2075,Hostel Kakheti
32,Aktau,KZ,79.38,scattered clouds,43.65,51.2,Silk Way Hotel
35,Kapaa,US,76.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
39,Naze,JP,81.52,scattered clouds,28.3667,129.4833,Shishime Hotel
41,Bengkulu,ID,75.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
44,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
45,George Town,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
47,Touros,BR,82.06,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
59,Perbaungan,ID,77.59,overcast clouds,3.5679,98.956,Bendang Lama
64,Alofi,NU,76.57,clear sky,-19.0595,-169.9187,Taloa Heights
69,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
70,São José da Coroa Grande,BR,79.74,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
71,Lorengau,PG,80.94,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
82,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
85,Kailua,US,78.49,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
91,Bahía Honda,CU,86.11,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
96,Luganville,VU,75.76,broken clouds,-15.5333,167.1667,The Espiritu Hotel
99,San Ignacio,BZ,84.33,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
100,Stargard,PL,75.34,broken clouds,53.3367,15.0499,"Hotel - Restauracja "" Spichlerz"""
101,Hasaki,JP,82.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
104,Mormugao,IN,78.82,overcast clouds,15.4,73.8,Coconut Creek Resort
112,Sola,VU,79.57,clear sky,-13.8833,167.55,Leumerus Bungalows
113,Cockburn Town,TC,82.18,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
121,Atuona,PF,76.98,few clouds,-9.8,-139.0333,Villa Enata
122,Russell,US,86.13,few clouds,32.3502,-85.1999,Macs
126,Mana,GF,88.11,overcast clouds,5.6592,-53.7767,LE SAMANA
130,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
131,Vanimo,PG,76.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
132,Guerrero Negro,MX,82.09,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
136,Washington,US,82.29,overcast clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
139,Hambantota,LK,78.19,overcast clouds,6.1241,81.1185,Bungalow 63
140,Rāzole,IN,77.34,light rain,16.4833,81.8333,Sterling Palavelli Godavari
143,Pochutla,MX,89.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
146,Praia,CV,82.45,overcast clouds,14.9215,-23.5087,LT Aparthotel
148,Maceió,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
154,Kiryat Gat,IL,83.8,clear sky,31.61,34.7642,OlusHome
157,Erenhot,CN,78.53,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
160,Hamilton,US,88.09,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
161,Faanui,PF,76.15,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Wewak,PG,78.21,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
164,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
165,Tual,ID,79.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
171,Porto-Novo,BJ,79.56,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
177,Upata,VE,87.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
178,Saint Anthony,US,79.88,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
182,Mattru,SL,78.58,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
186,Lucapa,AO,78.49,few clouds,-8.4192,20.7447,Lírio Mendes
188,Fukuechō,JP,82.9,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
190,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
191,Houndé,BF,82.85,overcast clouds,11.5,-3.5167,Carrefour où ouvriers dorment
200,Bandarbeyla,SO,78.08,overcast clouds,9.4942,50.8122,JABIR HOTEL
206,Husainābād,IN,83.07,clear sky,24.5333,84.0167,Mehdinager
211,Tabuk,PH,75.96,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
213,Belmonte,BR,78.98,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
214,Kilindoni,TZ,75.52,few clouds,-7.9139,39.6668,Bustani B&B
215,Katsuura,JP,81.01,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
216,Sioux Lookout,CA,79.12,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
219,Dwārka,IN,82.92,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
221,Kavieng,PG,80.37,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
223,Marsá Maţrūḩ,EG,81.19,clear sky,31.3525,27.2453,Beau Site
