City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,42.22,93,100,25.23,overcast clouds
1,Hilo,US,19.7297,-155.09,82.27,90,74,3.0,broken clouds
2,Ushuaia,AR,-54.8,-68.3,42.42,70,0,3.44,clear sky
3,Oxapampa,PE,-10.5775,-75.4017,67.24,78,88,2.77,overcast clouds
4,Saskylakh,RU,71.9167,114.0833,50.61,88,6,7.76,clear sky
5,Cidreira,BR,-30.1811,-50.2056,56.46,92,100,17.94,light rain
6,Upernavik,GL,72.7868,-56.1549,41.02,91,100,14.05,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,73.35,78,99,17.2,light rain
8,Hithadhoo,MV,-0.6,73.0833,82.04,71,63,2.8,broken clouds
9,Narsaq,GL,60.9167,-46.05,49.12,66,11,5.7,few clouds
10,Brae,GB,60.3964,-1.353,59.22,88,100,26.15,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,58.12,80,0,17.27,clear sky
12,Barrow,US,71.2906,-156.7887,36.73,97,100,14.74,light rain
13,Muros,ES,42.7762,-9.0603,91.69,73,22,2.15,few clouds
14,Marsabit,KE,2.3284,37.9899,71.31,42,92,18.81,overcast clouds
15,Vaini,TO,-21.2,-175.2,73.56,100,40,4.61,scattered clouds
16,Lusambo,CD,-4.9667,23.45,83.66,23,9,1.79,clear sky
17,Boa Vista,BR,2.8197,-60.6733,93.18,46,40,9.22,scattered clouds
18,Bluff,NZ,-46.6,168.3333,35.51,82,8,3.65,clear sky
19,Albany,US,42.6001,-73.9662,81.59,77,100,1.99,overcast clouds
20,Westport,US,41.1415,-73.3579,97.86,55,27,1.99,scattered clouds
21,Vila Franca do Campo,PT,37.7167,-25.4333,73.81,71,79,2.28,broken clouds
22,Airai,TL,-8.9266,125.4092,56.7,86,61,3.29,broken clouds
23,Thompson,CA,55.7435,-97.8558,57.36,72,75,14.97,broken clouds
24,Palana,RU,59.1167,159.9667,52.52,84,100,9.15,overcast clouds
25,Hīt,IQ,33.6416,42.8251,99.39,18,0,12.15,clear sky
26,Ashland,US,40.8167,-82.2665,68.99,95,100,5.7,overcast clouds
27,Busselton,AU,-33.65,115.3333,49.86,69,81,8.25,broken clouds
28,Akhmeta,GE,42.0311,45.2075,79.32,54,46,0.96,scattered clouds
29,Hobart,AU,-42.8794,147.3294,38.05,91,3,5.75,clear sky
30,Semenivka,UA,52.1783,32.5818,65.98,75,100,6.53,overcast clouds
31,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,5.75,light rain
32,Aktau,KZ,43.65,51.2,79.38,42,39,18.63,scattered clouds
33,Pangnirtung,CA,66.1451,-65.7125,44.6,81,75,11.5,broken clouds
