City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-08-03 17:11:49,-46.6,168.3333,44.8,73,100,14.99
1,Cidreira,BR,2022-08-03 17:11:49,-30.1811,-50.2056,65.82,83,73,19.66
2,Fasa,IR,2022-08-03 17:11:50,28.9383,53.6482,87.64,24,1,5.39
3,Sabang,ID,2022-08-03 17:11:50,5.8933,95.3214,81.3,74,100,23.78
4,Busselton,AU,2022-08-03 17:11:50,-33.65,115.3333,53.69,76,87,17.6
5,Albany,US,2022-08-03 17:08:46,42.6001,-73.9662,86.65,48,2,1.61
6,Arman,RU,2022-08-03 17:11:51,59.7,150.1667,53.02,93,97,3.15
7,Castro,BR,2022-08-03 17:11:51,-24.7911,-50.0119,77.59,36,0,5.79
8,Ostersund,SE,2022-08-03 17:11:52,63.1792,14.6357,61.25,82,75,9.22
9,Rikitea,PF,2022-08-03 17:11:52,-23.1203,-134.9692,72.28,72,80,15.93
10,Mount Gambier,AU,2022-08-03 17:11:53,-37.8333,140.7667,50.13,87,52,10.94
11,Mataura,NZ,2022-08-03 17:11:53,-46.1927,168.8643,44.47,89,100,3.11
12,Ushuaia,AR,2022-08-03 17:08:59,-54.8,-68.3,40.62,87,75,0.0
13,Kavieng,PG,2022-08-03 17:11:54,-2.5744,150.7967,81.1,80,97,15.73
14,Hobart,AU,2022-08-03 17:11:54,-42.8794,147.3294,49.26,87,34,6.91
15,Hithadhoo,MV,2022-08-03 17:11:54,-0.6,73.0833,81.46,72,43,16.08
16,Bathsheba,BB,2022-08-03 17:11:55,13.2167,-59.5167,88.41,81,40,20.71
17,Havoysund,NO,2022-08-03 17:11:56,70.9963,24.6622,52.03,81,33,12.12
18,Bilma,NE,2022-08-03 17:11:56,18.6853,12.9164,96.87,29,55,3.13
19,Nishihara,JP,2022-08-03 17:11:56,26.1842,127.7558,82.45,86,20,6.91
20,Mar Del Plata,AR,2022-08-03 17:07:56,-38.0023,-57.5575,52.09,99,100,9.22
21,Mundwa,IN,2022-08-03 17:11:57,27.0667,73.8167,90.73,54,95,4.29
22,Daru,PG,2022-08-03 17:11:57,-9.0763,143.2092,78.01,90,97,16.26
23,Hermanus,ZA,2022-08-03 17:11:58,-34.4187,19.2345,55.8,84,7,14.79
24,Baruun-Urt,MN,2022-08-03 17:11:58,46.6806,113.2792,75.69,50,54,5.77
25,Faanui,PF,2022-08-03 17:11:59,-16.4833,-151.75,78.66,74,7,21.34
26,Punta Arenas,CL,2022-08-03 17:11:59,-53.15,-70.9167,39.31,87,75,11.5
27,Butaritari,KI,2022-08-03 17:12:00,3.0707,172.7902,80.85,78,41,14.61
28,Clyde River,CA,2022-08-03 17:12:00,70.4692,-68.5914,37.63,100,100,8.05
29,Champerico,GT,2022-08-03 17:12:00,14.3,-91.9167,88.34,76,100,6.4
30,Rosarito,MX,2022-08-03 17:12:01,32.3333,-117.0333,80.42,67,64,10.27
31,Laguna,US,2022-08-03 17:12:01,38.421,-121.4238,90.09,48,0,6.91
32,Northam,GB,2022-08-03 17:12:02,51.0333,-4.2167,68.61,78,8,14.56
33,Kodiak,US,2022-08-03 17:12:02,57.79,-152.4072,62.11,59,0,10.36
34,Tuktoyaktuk,CA,2022-08-03 17:12:03,69.4541,-133.0374,44.29,85,99,6.08
35,Cayenne,GF,2022-08-03 17:12:03,4.9333,-52.3333,82.44,1,0,4.61
36,Alihe,CN,2022-08-03 17:12:04,50.5667,123.7167,68.94,86,100,1.39
37,Moree,AU,2022-08-03 17:12:04,-29.4667,149.85,58.05,81,38,13.73
38,Tabuleiro Do Norte,BR,2022-08-03 17:12:04,-5.2467,-38.1306,90.18,43,71,9.78
39,The Valley,AI,2022-08-03 17:08:01,18.217,-63.0578,87.66,66,40,20.71
40,Kiruna,SE,2022-08-03 17:12:05,67.8557,20.2251,54.52,88,100,4.61
41,Richards Bay,ZA,2022-08-03 17:12:06,-28.783,32.0377,67.84,72,100,13.4
42,Rabaul,PG,2022-08-03 17:12:06,-4.1967,152.1721,79.57,75,57,7.87
43,Okha,RU,2022-08-03 17:12:07,53.5739,142.9478,55.36,96,100,11.54
44,Ribeira Grande,PT,2022-08-03 17:13:07,38.5167,-28.7,79.2,89,75,10.36
45,Port Augusta,AU,2022-08-03 17:13:08,-32.5,137.7667,55.17,52,1,9.35
46,Hilo,US,2022-08-03 17:13:08,19.7297,-155.09,76.28,89,0,5.75
47,Torbay,CA,2022-08-03 17:13:08,47.6666,-52.7314,78.89,73,92,13.33
48,Poya,NC,2022-08-03 17:13:09,-21.35,165.15,70.23,94,36,4.7
49,Hovd,MN,2022-08-03 17:13:09,48.0056,91.6419,69.84,32,52,3.38
50,Chipoka,MW,2022-08-03 17:13:10,-13.9933,34.5157,72.86,58,21,6.85
51,Provideniya,RU,2022-08-03 17:13:10,64.3833,-173.3,53.06,70,36,3.98
52,Ponta Do Sol,PT,2022-08-03 17:13:10,32.6667,-17.1,77.63,65,0,5.08
53,Sao Filipe,CV,2022-08-03 17:13:11,14.8961,-24.4956,78.3,79,67,2.89
54,Kakinada,IN,2022-08-03 17:13:11,16.9333,82.2167,84.67,84,100,2.82
55,Nome,US,2022-08-03 17:13:12,64.5011,-165.4064,48.27,93,100,4.61
56,Khatanga,RU,2022-08-03 17:13:12,71.9667,102.5,49.6,66,92,6.98
57,Constitucion,CL,2022-08-03 17:13:13,-35.3333,-72.4167,54.09,54,82,7.65
58,Palora,EC,2022-08-03 17:13:13,-1.7,-77.9333,75.31,66,97,3.67
59,Bonfim,BR,2022-08-03 17:13:13,3.0833,-59.95,86.13,65,59,7.11
60,Port Elizabeth,ZA,2022-08-03 17:13:14,-33.918,25.5701,62.31,43,78,14.0
61,Kahului,US,2022-08-03 17:13:14,20.8947,-156.47,77.02,74,20,6.91
62,Yellowknife,CA,2022-08-03 17:08:30,62.456,-114.3525,60.67,45,75,5.39
63,Maniitsoq,GL,2022-08-03 17:13:15,65.4167,-52.9,45.3,88,100,11.25
64,Sangar,RU,2022-08-03 17:13:16,63.9242,127.4739,57.29,93,28,1.54
65,Puerto Ayora,EC,2022-08-03 17:09:09,-0.7393,-90.3518,78.76,78,70,5.01
66,Vangaindrano,MG,2022-08-03 17:13:16,-23.35,47.6,66.45,81,89,3.8
67,Vestmannaeyjar,IS,2022-08-03 17:13:17,63.4427,-20.2734,56.39,58,20,18.41
68,Leshukonskoye,RU,2022-08-03 17:13:17,64.8989,45.7622,62.94,73,82,4.74
69,Baghdad,IQ,2022-08-03 17:13:18,33.3406,44.4009,105.71,17,0,3.44
70,Bredasdorp,ZA,2022-08-03 17:13:18,-34.5322,20.0403,51.35,88,13,7.0
71,Mungwi,ZM,2022-08-03 17:13:18,-10.1732,31.3694,66.38,39,36,6.46
72,Vaini,TO,2022-08-03 17:13:19,-21.2,-175.2,75.36,94,40,11.5
73,Mount Isa,AU,2022-08-03 17:13:19,-20.7333,139.5,62.37,67,1,0.0
74,Pogradec,AL,2022-08-03 17:13:20,40.9025,20.6525,73.4,43,85,1.7
75,Salalah,OM,2022-08-03 17:13:20,17.0151,54.0924,78.89,94,75,0.0
76,Salekhard,RU,2022-08-03 17:13:20,66.53,66.6019,65.66,56,14,7.27
77,Lubao,PH,2022-08-03 17:13:21,14.9167,120.55,78.96,86,100,2.82
78,Salta,AR,2022-08-03 17:13:21,-24.7859,-65.4117,63.57,63,66,5.01
79,Vasvar,HU,2022-08-03 17:13:22,47.0493,16.7995,86.81,23,0,6.69
80,Adre,TD,2022-08-03 17:13:22,13.4667,22.2,75.49,75,76,15.7
81,Mahebourg,MU,2022-08-03 17:13:22,-20.4081,57.7,70.09,73,75,9.22
82,Kapaa,US,2022-08-03 17:13:23,22.0752,-159.319,75.52,92,40,12.66
83,Dikson,RU,2022-08-03 17:13:23,73.5069,80.5464,42.01,100,100,7.34
84,Basco,PH,2022-08-03 17:13:24,20.4487,121.9702,83.68,72,100,13.44
85,Nikolskoye,RU,2022-08-03 17:13:24,59.7035,30.7861,73.29,70,60,2.46
86,Georgetown,MY,2022-08-03 17:09:49,5.4112,100.3354,80.89,87,40,4.61
87,Hofn,IS,2022-08-03 17:13:25,64.2539,-15.2082,49.08,67,75,18.28
88,Yueyang,CN,2022-08-03 17:13:25,29.3333,113.0919,85.64,61,14,4.99
89,Avarua,CK,2022-08-03 17:13:26,-21.2078,-159.775,71.65,56,75,6.91
90,Floriano,BR,2022-08-03 17:11:45,-6.7669,-43.0225,98.19,26,64,9.6
91,Atuona,PF,2022-08-03 17:14:26,-9.8,-139.0333,77.31,73,0,15.75
92,Fortuna,US,2022-08-03 17:14:27,40.5982,-124.1573,60.66,100,100,3.44
93,Upernavik,GL,2022-08-03 17:14:27,72.7868,-56.1549,45.01,77,73,2.06
94,Oranjemund,NA,2022-08-03 17:14:28,-28.55,16.4333,55.13,87,0,7.45
95,Comodoro Rivadavia,AR,2022-08-03 17:14:28,-45.8667,-67.5,51.66,43,0,4.61
96,Cape Town,ZA,2022-08-03 17:14:29,-33.9258,18.4232,57.11,78,40,9.22
97,Sao Joao Da Barra,BR,2022-08-03 17:14:29,-21.6403,-41.0511,82.49,72,34,11.05
98,Finschhafen,PG,2022-08-03 17:14:29,-6.6024,147.8681,78.6,77,88,9.44
99,Progreso,MX,2022-08-03 17:14:30,21.2833,-89.6667,91.11,61,2,9.66
100,Labuhan,ID,2022-08-03 17:14:30,-6.8844,112.2051,76.46,87,92,8.77
101,Yar-Sale,RU,2022-08-03 17:14:31,66.8333,70.8333,61.2,62,65,8.75
102,Horasan,TR,2022-08-03 17:14:31,40.0458,42.1728,77.49,37,62,8.28
103,Arlit,NE,2022-08-03 17:14:31,18.7369,7.3853,104.29,11,11,9.35
104,Ajaccio,FR,2022-08-03 17:10:02,42.0,8.9167,84.18,55,0,9.22
105,Chuy,UY,2022-08-03 17:14:32,-33.6971,-53.4616,57.4,98,100,2.35
106,Tiksi,RU,2022-08-03 17:14:32,71.6872,128.8694,39.83,85,93,5.68
107,Iquique,CL,2022-08-03 17:12:15,-20.2208,-70.1431,64.44,65,27,8.7
108,Boyolangu,ID,2022-08-03 17:13:52,-8.1181,111.8935,73.56,94,86,5.37
109,Dzhebariki-Khaya,RU,2022-08-03 17:14:33,62.2167,135.8,64.92,85,100,3.89
110,Kaitangata,NZ,2022-08-03 17:14:34,-46.2817,169.8464,43.32,86,100,3.98
111,Ngerengere,TZ,2022-08-03 17:14:34,-6.75,38.1167,74.59,61,75,7.02
112,Broken Hill,AU,2022-08-03 17:14:35,-31.95,141.4333,62.67,58,100,22.32
113,Alekseyevsk,RU,2022-08-03 17:14:35,57.8406,108.3492,53.76,90,35,3.31
114,Luderitz,NA,2022-08-03 17:14:36,-26.6481,15.1594,57.42,83,0,11.36
115,Katherine,AU,2022-08-03 17:14:36,-14.4667,132.2667,79.12,57,100,5.75
116,Jalu,LY,2022-08-03 17:14:37,29.0331,21.5482,95.47,23,0,12.3
117,Longyearbyen,SJ,2022-08-03 17:14:37,78.2186,15.6401,51.64,76,75,11.5
118,Cherskiy,RU,2022-08-03 17:14:38,68.75,161.3,42.93,92,100,7.02
119,Half Moon Bay,US,2022-08-03 17:14:38,37.4636,-122.4286,79.54,75,40,12.66
120,East London,ZA,2022-08-03 17:14:38,-33.0153,27.9116,68.94,60,0,4.61
121,Vorukh,TJ,2022-08-03 17:14:39,39.8494,70.5838,69.85,60,32,1.66
